,Actual,Predicted,Forecast
2014-08-01,108.194,108.4176321113636,
2014-09-01,100.4172,97.60730041247875,
2014-10-01,92.3837,91.80891132156155,
2014-11-01,99.7033,95.21297383163602,
2014-12-01,109.3477,114.24033972819231,
2015-01-01,120.2696,118.05001496895841,
2015-02-01,116.3788,111.6157113066902,
2015-03-01,104.4706,106.63618195535737,
2015-04-01,89.7461,92.78336089350807,
2015-05-01,91.093,93.47573120401309,
2015-06-01,102.6495,102.23640698567374,
2015-07-01,111.6354,111.00411609204181,
2015-08-01,110.5925,110.46413682324804,
2015-09-01,101.9204,100.29150575719059,
2015-10-01,91.5959,93.866071090557,
2015-11-01,93.0628,96.45222878614575,
2015-12-01,103.2203,108.02439565194342,
2016-01-01,117.0837,113.81558656373232,
2016-02-01,106.6688,109.1317900145636,
2016-03-01,95.3548,97.09358142662488,
2016-04-01,89.3254,84.58523303195045,
2016-05-01,90.7369,90.06552518589018,
2016-06-01,104.0375,99.7675451106245,
2016-07-01,114.5397,112.28700440261831,
2016-08-01,115.5159,112.58772469404038,
2016-09-01,102.7637,104.67260773158026,
2016-10-01,91.4867,94.4372127773452,
2016-11-01,92.89,96.36626318829747,
2016-12-01,112.7694,106.85383074613523,
2017-01-01,114.8505,121.8791570562355,
2017-02-01,99.4901,106.21501555420647,
2017-03-01,101.0396,93.8349749770603,
2017-04-01,88.353,90.06815606720858,
2017-05-01,92.0805,87.64508227497711,
2017-06-01,102.1532,103.63346938656065,
2017-07-01,112.1538,111.26658813692686,
2017-08-01,108.9312,112.09571384787614,
2017-09-01,98.6154,98.56760150691248,
2017-10-01,93.6137,89.99273214697982,
2017-11-01,97.3359,95.36086790712498,
2017-12-01,114.7212,111.16549336682381,
2018-01-01,129.4048,121.4575158367188,
2018-02-01,,,116.32594001730934
2018-03-01,,,109.10368510393141
2018-04-01,,,98.92829964408516
2018-05-01,,,101.29871878387483
2018-06-01,,,111.84130879298063
2018-07-01,,,121.36390533365862
2018-08-01,,,120.16219784353814
2018-09-01,,,109.53068191155897
2018-10-01,,,101.73621394756651
2018-11-01,,,105.05834761182176
2018-12-01,,,120.56659117756327
2019-01-01,,,130.69687930967672
2019-02-01,,,119.5830252962498
2019-03-01,,,112.73591972954256
2019-04-01,,,102.0143031756746
2019-05-01,,,104.1970245971508
2019-06-01,,,114.98947908387224
2019-07-01,,,124.44798804475585
2019-08-01,,,123.34255330984658
2019-09-01,,,112.70836975093816
2019-10-01,,,104.71989677892739
2019-11-01,,,108.0055999775121
2019-12-01,,,123.37743786351867
2020-01-01,,,133.1798605278897
2020-02-01,,,122.20798646174501
2020-03-01,,,115.38761310461177
2020-04-01,,,104.62663565194642
2020-05-01,,,106.79582208952958
2020-06-01,,,117.60630741330536
2020-07-01,,,127.06017336830985
2020-08-01,,,125.96173443301825
2020-09-01,,,115.32735247582801
2020-10-01,,,107.32481754205529
2020-11-01,,,110.60788325679728
2020-12-01,,,125.96983740522937
2021-01-01,,,135.74850155971703
2021-02-01,,,124.7869156906395
2021-03-01,,,117.96847958519855
2021-04-01,,,107.20464990555064
2021-05-01,,,109.37285553774014
2021-06-01,,,120.18464743533156
2021-07-01,,,129.63817695220243
2021-08-01,,,128.54024493889665
2021-09-01,,,117.90584860634539
2021-10-01,,,109.90229471720363
2021-11-01,,,113.18516931407126
2021-12-01,,,128.54640726740072
2022-01-01,,,138.3233498343715
2022-02-01,,,127.36250946804746
2022-03-01,,,120.54421373955664
2022-04-01,,,109.78017738201592
2022-05-01,,,111.94831194315705
2022-06-01,,,122.76019851761723
2022-07-01,,,132.21370365552536
2022-08-01,,,131.11580837477365
2022-09-01,,,120.4814110005558
2022-10-01,,,112.47778327592847
2022-11-01,,,115.76064402402395
2022-12-01,,,131.12183008046557
2023-01-01,,,140.89864789786134
2023-02-01,,,129.93786155211464
2023-03-01,,,123.11957599561025
2023-04-01,,,112.35552466178804
2023-05-01,,,114.52365407298299
2023-06-01,,,125.33554750791293
2023-07-01,,,134.78905087927407
2023-08-01,,,133.69115826023454
2023-09-01,,,123.0567608105355
2023-10-01,,,115.05312773564553
2023-11-01,,,118.33598748023205
2023-12-01,,,133.69716977612438
2024-01-01,,,143.4739785539237
2024-02-01,,,132.51319612261298
2024-03-01,,,125.69491130319045
2024-04-01,,,114.9308588841578
2024-05-01,,,117.09898792217764
2024-06-01,,,127.91088185423055
2024-07-01,,,137.36438509758426
2024-08-01,,,136.2664926714176
2024-09-01,,,125.63209521624901
2024-10-01,,,117.62846175366863
